FACETS,BASETERM_NAME,ENFOODNAME
A023E#F27.A01SQ,Cured seasoned poultry meat,"ROLLED FILLET OF HAM, TURKEY, 7% F.C., GUTFRIED"
A01AC#F03.A06JE,Turmeric roots,"TURMERIC, GROUND"
A035S#F04.A015H,White nougat mass,Turkish delight
A0EVD#F27.A001N,Isolated proteins and other protein products,Wheat gluten
A024T#F28.A07JV,Fresh kolbasz,"SAUSAGE, SMOKED"
A04GP#F28.A0BA1,"Bovine and pig, minced meat",Pork/Beef minced cooked
A011C#F26.A07XD,Dried potato products,Potato flour or pearls
A024J#F04.A04AC,Fresh spiced sausages in casing,"Sausage, pork"
A0EVZ#F33.A0C17,Selenium,SELENIUM 50MCG  ANONYMOUS
A047Z#F03.A06JD,Stabiliser,"WHIPPED CREAM STABILIZER , POWDER, ANONYMOUS"
A02MT#F03.A06JL,Flavoured whey,"WHEYDRINK, TAKSI - LIQUID"
A02JB#F28.A07HS,"Cuttlefish, common","SEAFOOD, CUTTLEFISH, RAW"
A02FP#F28.A07HS,Lobsters,"SEAFOOD, LOBSTER, RAW"
A02HS#F03.A06JB,"Scallop, great","Scallops, Saint-Jacques,cut,cooking method undefined,preservation method undefined,food/ingredient source undefined"
A012B#F28.A07GL,Borlotti or other common beans (without pods),"WHITE BEAN, BOILED"
A0DAN#F28.A07LN,Sea buckthorn seeds,Sea buckthorn juice
A04LT#F28.A07KG,Other red algae,"SEAWEED, NORI, DRIED, RAW"
A02BG#F28.A07GM,Turbot,ANONYMOUS-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: WHOLE$COOKING METHOD (FATTIEST): STEWED (WITH FAT)$PRESERVATION METHOD: FRESH$SKIN CONSUMED: WITH SKIN
A004G#F28.A0C03,Bulgur,"WHEAT, CRACKED KERNELS, PARBOILED (BULGUR), RAW"
A0DHH#F28.A07GG,Summer savory,SAVORY
A02PS#F03.A06JL,Whey protein,"WHEY, LIQUID"
A0FCY#F28.A07HS,Blue mussel,"SEAFOOD, MUSSEL, RAW"
A00TY#F27.A00TG,Dried mushrooms,"Porcino, dried (Boletus edulis)"
A03CG#F27.A01LP,Dehydrated/powdered fruit juice,Powdered base for pineapple drink
A000V#F28.A07HF,Popcorn kernels,"Popcorn, prepared with microwave, American style, ANONYMOUS"
A011B#F26.A07XD,Starchy root and tuber products,PRODUCTS FROM HIGH-STARCH VEGETABLE PIECES
A01XF#F28.A07GR,Bovine liver,"Veal Liver, fried"
A00VQ#F26.A07XD,Herbs and edible flowers,POTHERBS III (POTHERBS MIXED FOR MEAT)
A01TY#F26.A07XD,Cattle fresh fat tissue,VEAL KIDNEY FAT (SUET) DEEP-FROZEN
A012R#F27.A011Y,Pulses (dried legume seeds),Pulses (dry seeds)
A048R#F04.A06MF,Preparations for gelling home-made food,"PUDDING POWDER, CHOCOLATE-FLAVOURED"
A02XV#F07.A073N,"Cheese, trappist","Semisoft cheese Šmarski Rok, ANONYMOUS"
A00ZR#F26.A07XD,"Starchy roots or tubers and products thereof, sugar plants","POTATO, SMALL FRY-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: COOKED WITHOUT FAT (N.S)$PRESERVATION METHOD: VACUUM PACKED$BRANDNAME/PRODUCTNAME: UNDEFINED"
A02QR#F07.A072X,Clotted cream,"UHT cream for coffee, 10% fat, ANONYMOUS Cuisine, ANONYMOUS"
A02VN#F07.A074L,"Cheese, maasdam","UNCOOKED HARD CHEESE 45% FIDM, WITH HOLES: MAASDAM"
A00AL#F28.A07GV,Croquembouche,"Various pastry, ""Fartura"""
A02SF#RISKF04.A07VY,"Cheese, saint marcellin","Saint Marcellin raw milk,no packaging"
A01ZQ#F26.A07XEF28.A07GY,"Sheep edible offal, non-muscle, other than liver and kidney",Pluck
A03XT#F04.A00JAF04.A02DX,Fishcakes,TUNA AND RED PEPPER FISH CAKES EG WAITROSE
A01RL#F03.A06HZF28.A07GM,Goat fresh meat,Young goat / kid N S
A00ZY#F20.A07QRF28.A07GL,Tropical root and tuber vegetables,"TUBER N.S., FRESH, FLESH, BOILED, WITHOUT SKIN"
A01AM#F06.A06XTF28.A07KC,Capers buds,PICKLED CAPER
A0DDN#F10.A0CQEF28.A07GG,Pleurotus,"OYSTER MUSHROOM, COOKED WITHOUT SALT"
A01SX#F20.A07QQF28.A07GX,Guinea-fowl fresh meat,Poultry n.s.
A00KX#F10.A166YF28.A07HS,Lettuces (generic),"Sucrine lettuce,raw, unprocessed,fresh/no treatment,flavoured/added component undefined"
A014M#F19.A07PRF28.A07JK,Macadamias,"Nuts, macadamia,vacuum packed (without air),in plastic container"
A0DYL#F10.A0CQEF28.A07KG,Brazil nuts and similar-,"Nuts, mixed,dried/semi-dried n.s.,nuts n.s.,Brazil nut,no packaging,unsalted/no salt added"
A02JD#F10.A166YF28.A07GL,Octopuses,Octopuses
A01YN#F07.A070ZF31.A0C8X,Sheep kidney,OFFAL - LAMB KIDNEY
A01ZK#F26.A07XDF28.A07GL,"Animal edible offal, non-muscle, other than liver and kidney","OFFALS N.S., OTHER POULTRY, BOILED"
A01XK#F07.A071XF31.A0C8R,Sheep liver,OFFAL - LAMB LIVER
A02FY#F03.A06HYF28.A07GL,"Prawn, giant tiger",Prawn
A01HZ#F10.A166YF28.A07HS,Tamarillos,"Tamarillo,raw, unprocessed,fresh/no treatment"
A001P#F24.A07VQF28.A07GG,Durum wheat grain,"WHEAT, WHOLE GRAIN, PRECOOKED, BOILED"
A02ES#F04.A04SDF28.A07GR,Herring roe,ROE HERRING SOFT FRY BLENDED
A00BS#F04.A015JF28.A07GX,Kringles,Traditional strudle with poppy seeds
A00SK#F10.A0CQEF28.A07GG,Common bean sprouts,"ANONYMOUS, COOKED WITHOUT SALT"
A0CSK#F28.A07GXF33.A0C3Y,Pre-mixes (dry) for baked products,YORKSHIRE PUDD WITH S/S MILK NO FAT
A004S#F04.A039CF28.A07HA,Flour mix (like wheat/rye/barley/oats and other),"ROUX, DARK, MONDAMIN FIX"
A03XE#F04.A01RKF23.A07TT,Moussaka,ANONYMOUS LAMB MOUSSAKA
A03EF#F10.A077JF19.A07PF,"Fruit soft drink, grape white","Soft drink, Lemonade, sparkling"
A04ED#F04.A007AF28.A07HK,Turkey msm,"TURKEY, SCHNITZEL"
A03AE#F18.A07NN$F19.A07PG,"Juice, prune","Prune juice, canned"
A16FM#F27.A00ZT$F28.A07GR,Canned starchy root products,"POTATO PRODUCT N.S., CANNED, NOT APPLICABLE, FLESH, FRIED, WHOLE"
A024Q#F04.A01SQ$F28.A07JV,Cured unripened raw sausages,"TURKEY, SAUSAGE  SZYNKOWA"
A00PB#F28.A07GX$F28.A07KQ,Legumes with pod,"POD VEGETABLE N.S., FROZEN, FLESH, BAKED"
A0FAM#F28.A07GL$F28.A07KQ,Pollack,POLLACK - FROZEN - SMALL PIECES OF MEAT - BOILED
A02PC#F07.A06ZA$F09.A0EXM,Flavoured traditional sour milk products,SEMI-SKIMMED SOUR MILK  FAT 1 5 %
A02FJ#F22.A07SP$F28.A07GV,Miscellaneous marine crustaceans,Seafood n.s.
A04PJ#F19.A07PR$F27.A01VA,Fats and oils from terrestrial animals,"Pork fat,in plastic container"
A0F0M#F26.A07XE$F27.A015L,Nut/seeds paste/emulsion/mass,"SEED, SUNFLOWER, SPREAD, COOKING METHOD NOT APPLICABLE"
A00JG#F10.A166Y$F28.A07HS,Ground cherries (physalis etc.),"Physalis,raw, unprocessed,fresh/no treatment"
A0DMK#F10.A0F2Q$F28.A07HS,Chinese capsicum,"PEPPERS, CAPSICUM, CHILLI, GREEN, RAW"
A012K#F01.A05HQ$F28.A07GL,Pigeon peas (without pods),"Pigeon peas, boiled"
A03VF#F04.A023K$F18.A07NT,Potato casserole,"POTATO AND HAM CASSEROLE, NO ADDED FAT"
A0EYN#F27.A01VA$F28.A07GS,Preserved/processed fat tissues,"Pork, greaves"
A00RT#F03.A06JC$F28.A07GM,Asparagus,White asparagus
A012X#F27.A0BAK$F28.A07GM,Navy beans (dry seeds),White beans
A024H#F28.A07HS$F28.A07KJ,Italian-style sausage,"PORK, PROCESSED MEAT, PORK SAUSAGE, DRIED, RAW"
A02PH#F04.A047F$F04.A06VS,Milk and dairy powders,Vanilla sauce powder (type 'ANONYMOUS')
A001X#F28.A07GL$F28.A07KG,Mixture of grains,RICE DIFFERENT CEREALS-FACETS_DESC: COOKING METHOD (FATTIEST): BOILED$PRESERVATION METHOD: DRIED OR FLAKES
A013Q#F28.A07GG$F10.A0CJK,Lentils (dry),Red lentils dried boiled w/ salt
A00KS#F26.A07XE$F28.A07HS,Lettuces and salad plants,"SALADE, MIXED GREEN-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD: RAW$PRESERVATION METHOD: VACUUM PACKED"
A028Q#F28.A07GS$F28.A07HK,Pacific salmon (generic),"SALMON BREADED, FRIED (3)"
A02JP#F22.A07SH$F27.A0C75,Dried fish,Salmon
A049T#F07.A06YZ$F01.A0C9E,Bovine msm,VEAL SHAWL
A0B9K#F04.A0CFR$F10.A0F6C,"Fruit soup, dry",ROSE HIP SOUP DRIED FORTIFIED
A020Y#F28.A07GM$F28.A07KP,Bovine tail,"Tail,beef,stewed n.s.,chilled/refrigerated cooled at 5-8°C,no packaging,chilled (fresh) department (2-8°C)"
A01PA#F06.A06XY$F10.A077J,Canned or jarred cranberry,Cranberry
A03VR#F04.A012L$F04.A024F,Beans and meat meal,"STEW, LENTIL STEW WITH SAUSAGES, ERASCO"
A02QQ#F03.A06JF$F19.A07PR,"Cheese, chevre frais","Cheese cream/fresh (type ANONYMOUS, ANONYMOUS, …)"
A03LL#F03.A06JL$F10.A077K,Hibiscus infusion,"Tea, hibiscus"
A008Y#F04.A02MA$F28.A07GX,Short pastry dough (pate brisee),YORKSHIRE PUDDING MADE WITH SKIMMED MILK
A03YK#F28.A07GR$F28.A07GS,Cheese omelette,OMELETTE CHEESE FRIED MARG
A01QM#F06.A06XT$F27.A01BP,Fruit in vinegar or brine,"OLIVE, RIPE, IN BRINE"
A02MV#F07.A06YJ$F21.A07SE,Buttermilk,"ORGANIC BUTTER MILK, SKIMMED 0.1% FAT, WITHOUT ADDED VITAMIN D"
A00PJ#F10.A0CQQ$F28.A07KQ,Lima beans (with pods),"ANONYMOUS beans, immature seeds, frozen, baby, unprepared"
A039M#F28.A07MQ$F03.A06JL,"Juice, apple",JUICE APPLE DILUTED - LIQUID
A00ST#F28.A07GL$F10.A0CJK,Peas shoots and sprouts,"Peas, mature seeds, sprouted, cooked, boiled, drained, with salt"
A00FR#F03.A06JF$F03.A06JG,Cauliflowers,"PATE, CAULIFLOWER"
A047V#F19.A07PR$F28.A07GS,Emulsifier,SOYA BEAN LECITHIN
A02QM#F10.A077H$F10.A077K,Skyr,Yoghurt Skyr Iceland style
A02BE#F28.A07GS$F28.A07HK,"Plaice, european",SOLE
A03TD#F03.A06JF$F26.A07XE,Meat and dairy imitates,YEAST-BASED SANDWICH SPREAD WITH CHAMPIGNONS
A02ZL#F07.A073T$F27.A02LX,"Cheese, caciocavallo",YELLOW CHEESE VITOSHA FROM COW MILK
A02NC#F04.A04MA$F07.A073T,Créme fraiche and other mild variants of sour cream,"CREAM WITH HERBS, 30% F.C., ANONYMOUS"
A0B9G#F02.A06ANF07.A06ZMF28.A07KD,"Corned beef, cooked","VEAL, EYE OF ROUND, SALTED, BOILED"
A0FBV#F03.A06HZ$F06.A06XTF28.A07JV,Canned mackerel,SMOKED MACKEREL FILLETS CANNED IN BRINE
A014D#F10.A0CJK$F20.A07QDF28.A07GR,Almonds,OIL ROASTED ALMOND WITH SALT
A03ZC#F04.A00HNF04.A02DX$F04.A044X,Sandwich with fish topping/filling,TUNA MAYONNAISE AND VEGETABLES SANDWICH SPREAD
A0DVK#F20.A07QE$F26.A07XEF28.A07HS,"Other hybrids of Persica vulgaris or Prunus persica, not elsewhere mentioned","Peach, vine,raw, unprocessed,preservation method undefined,with skin/peel/crust,food/ingredient source undefined"
A01AL#F18.A07NY$F19.A07PRF28.A07KJ,Cloves buds,SPICE - CLOVE
A02EB#F03.A06JB$F20.A07QRF28.A07HS,"Tuna, bluefin (generic)","Tuna, bluefin,cut,raw, unprocessed,preservation method undefined,without skin/peel/crust,food/ingredient source undefined"
A01GT#F10.A166Y$F20.A07QEF28.A07HS,Cherry plums,"Plum, red,raw, unprocessed,fresh/no treatment,with skin/peel/crust,bought,ambient department"
A00AM#F04.A02MK$F10.A077JF22.A07SH,Gougere,St Honore
A00ZB#F10.A077AF28.A07GX$F28.A07KQ,Preserved tomatoes not concentrated,Tomato sauce N S
A02HB#F03.A06HY$F10.A166YF28.A07GL,Razor clam,"Razor-shells,in shell,boiled in water,fresh/no treatment,food/ingredient source undefined"
A00PG#F18.A07NS$F19.A07PFF28.A07GG,French beans (with pods),WAX BEANS TINNED COOKED
A02EP#F04.A04SDF28.A07GR$F28.A07HL,Cod roe,ROE COD HARD BATTER FRY COMM
A02YP#F03.A06JA$F10.A077AF19.A07PR,"Cheese, gruyere","Toastinette, Gruyere,whole,in plastic container"
A03VH#F04.A00QH$F04.A00RD$F28.A0C6N,Potatoes and vegetables meal,SWEDES AND POTATOES MASHED
A0ETR#F19.A07PF$F20.A07QF$F27.A00QV,Salted vegetables,White radish
A0F0L#F08.A033J$F21.A0C6Y$F22.A07SS,Candied or sugar preserved nuts,Pasteli
A03QS#F10.A077A$F10.A077J$F18.A07NZ,"Follow-on formula, soya-based, liquid","Soya milk/drink, growth"
A0CEQ#F27.A00QH$F27.A042R$F28.A07GL,Field (maple) pea (fresh seeds),"Peas and carrots, frozen, cooked, boiled, drained, with salt"
A009A#F04.A06MN$F10.A077J$F22.A07SS,French pie pastry dough,Pie n.s.
A01QP#F04.A011G$F04.A01DT$F26.A07XD,Fruit preparations for fillings and/or flavouring,PIE FILLING SWEET
A035Y#F04.A0CZJ$F04.A015H$F04.A015K,Brittle mass,"Sesame seed and nut candy, traditional"
A0EYG#F20.A07QR$F28.A07GT$F28.A07HS,Birds meat,"Poultry, meat n.s."
A01DG#F24.A07VP$F28.A07KP$F28.A0BYP,Pome fruits,"Pome fruit n.s.,cooking method not applicable,canned,packing medium undefined,type of packaging undefined,brand/product name undefined,bought,chilled (fresh) department (2-8°C)"
A027B#F03.A06HY$F28.A07GR$F20.A07QQ,Freshwater bream - Europe,"SEA-BREAM, FRESH, WHOLE, FRIED, WITH SKIN"
A0DLR#F10.A166Y$F21.A0C6S$F28.A07GY,Winter squashes,"Squash, potimarron,roasted/baked in oven n.s.,fresh/no treatment,home-grown (plant/animal)"
A03XA#F01.A04SF$F10.A077A$F28.A07GT,Meat loaf,"Pressed meatloaf, regular"
A03RT#F03.A07Y2$F04.A0EVD$F23.A07TP,Total daily diet replacement for weight reduction,PROTEIN DRINK POWDER  ANONYMOUS
A0C6D#F04.A02PJ$F04.A03HY$F26.A07XE,Hot drinks and infusions composite ingredients,Tea Chai latte instant powder
A00JD#F03.A06JG$F04.A01BM$F22.A07SH,Aubergines,Vegetable spread bread topping
A00JP#F19.A07PF$F26.A07XD$F26.A07XE,Gherkins,SALT-DILL CUCUMBER WITH LACTIC ACID
A04KK#F04.A06VS$F10.A077L$F21.A0C6Y,"Teas leaves, dry and/or fermented, and similar",Tea N S
A02NP#F04.A019H$F10.A077A$F10.A077J,"Yoghurt, goat milk, flavoured",Yoghurt
A00AX#F12.A008M$F19.A07PR$F22.A07SH,Cream custard cake,"Tarte, tropezienne,in plastic container,commercial (supermarket/shop/organic shop) n.s.,purchase department undefined"
A019M#F26.A07XE$F27.A00JA$F28.A07KG,Other fruit spices,"Paprika powder,sweet"
A024P#F04.A04GP$F10.A077A$F28.A07GZ,Thuringian sausage,Rostbratwurst (frying sausage)
A03NP#F11.A07CE$F18.A07NM$F19.A07PF,Raisin wine,WINE WHITE SWEET
A02KD#F04.A0FCB$F22.A07SP$F28.A0BA1,Fish balls,"Small spicy beignets with cod,cooked n.s.,preservation method undefined,prepared at a restaurant"
A02YD#F03.A06JA$F10.A077CF10.A0CRGF27.A02LV,"Cheese, white stilton","STILTON, WEISS, COW, SLICE, FAT REDUCED"
A02HV#F03.A06JB$F10.A166YF28.A07GP$F28.A07KQ,"Scallop, queen","Scallopps, queen,cut,steamed,fresh/no treatment,bought,frozen department (-18°C)"
A02ST#F10.A0CJP$F26.A07XDF28.A07HD$F28.A07HK,Firm - ripened cheeses,Vegetarian schnitzel cheese based with bread crumbs
A021D#F02.A07XN$F19.A07PRF28.A07GQ$F28.A07KP,Pig stomach,"Tripe,pork,pressure cooked n.s.,chilled/refrigerated cooled at 5-8°C,in plastic container,chilled (fresh) department (2-8°C)"
A01GS#F10.A166Y$F20.A07QE$F21.A0C6SF28.A07GY,Mirabelles,"Plum, mirabelle,roasted/baked in oven n.s.,fresh/no treatment,with skin/peel/crust,home-grown (plant/animal)"
A01GE#F06.A06XZ$F21.A0C6S$F24.A07VPF28.A0BYP,Stone fruits,"Stone fruit n.s.,cooking method not applicable,canned,in syrup, heavy,home-grown (plant/animal)"
A02GQ#F03.A06HY$F10.A166YF28.A07HS$F28.A07KP,Sea urchins,"Urchins,in shell,raw, unprocessed,fresh/no treatment,bought,chilled (fresh) department (2-8°C)"
A02AR#F19.A07PR$F26.A07XEF28.A07GS$F28.A07KQ,"Flounders, halibuts, soles",WITCH FRESH FRIED SLICED
A03XL#F03.A06JG$F04.A0FBX$F04.A031G$F28.A07GX,Fish gratin,SALTED HERRING AND POTATOES BAKED IN EGGS
A029M#F03.A06HZ$F20.A07QR$F22.A07SP$F28.A07GV,Char,Samlet
A03PQ#F04.A0CSC$F04.A033Y$F04.A033J$F04.A03AG,Other mixed alcoholic drinks,"Traditional mixed alcoholic drink, ""Poncha"""
A022P#F02.A07XS$F20.A0F4T$F24.A07VP$F28.A07KP,"Pig meat, dried","Pork, belly,cooking method not applicable,dried/semi-dried n.s.,no packaging,with visible fat,chilled (fresh) department (2-8°C)"
A01GZ#F10.A166Y$F20.A07QE$F21.A0C6S$F28.A07HS,Sloes,"Plum, sloe,raw, unprocessed,fresh/no treatment,with skin/peel/crust,home-grown (plant/animal)"
A021Z#F27.A022E$F27.A022D$F27.A022F$F27.A022B,Poultry other slaughtering products,"Poultry other slaughtering products, RACSOURCE= Duck, other slaughtering products, RACSOURCE= Turkey, other slaughtering products, RACSOURCE= Goose, other slaughtering products, RACSOURCE= Chicken, other slaughtering products"
A065H#F03.A0CEA$F04.A0EZB$F07.A073T$F10.A0F6C,Baked milk and similar,WHEY CHEESE CA 30% FAT FORTIFIED
A03HS#F04.A06SM$F10.A077L$F21.A0C6Y$F22.A07SS,Tea leaves and stalks with fruit and flavours,Tea with fruit flavours
A03XQ#F04.A02LV$F04.A02ML$F04.A0FBY$F28.A07GX,Fish and potatoes meal,SWEDISH POTATO GRATIN W PICKLED SPRATS COFFEE CREAM AND MILK ANONYMOUS
A034H#F04.A03HGF04.A06VS$F08.A032JF18.A07NY$F19.A07PR,Bitter-sweet chocolate,CHOCOLATE ANONYMOUS DARK
A019V#F03.A07Y3$F18.A07NY$F19.A07PRF28.A07KJ$F28.A07LA,Cinnamon bark,SPICE - CINNAMON
A0DKH#F03.A06HY$F10.A166Y$F21.A07RV$F22.A07SSF28.A07GL,Purple amaranth leaves,Purple amaranth leaves
A03DJ#F04.A03GE$F04.A03LC$F04.A03CB$F10.A077J$F28.A07MR,Water and water-based beverages,"Water with syrup,ANONYMOUS,sweetened with sugar (sucrose)"
A01AY#F19.A07PF$F26.A07XD$F27.A012J$F28.A07JT$F28.A07GS,"Processed legumes, nuts, oilseeds and spices","Peas,stir fried/pan fried without fat,marinated,in glass,bought,ambient department"
A023F#F10.A077A$F10.A0CJK$F20.A0F4V$F24.A07VP$F28.A07KP,"Corned turkey, uncooked","Processed meat n.s.,turkey/young turkey,cooking method not applicable,chilled/refrigerated cooled at 5-8°C,whole,no packaging,without visible fat,normally salted,chilled (fresh) department (2-8°C)"
A02CJ#F03.A06JB$F20.A07QR$F21.A07RY$F28.A07GP$F28.A07KQ,Norway pout,"Pouting,cut,steamed,deep frozen,without skin/peel/crust,fished, hunted, picked"
A04QQ#F04.A00AQ$F04.A02ML$F04.A02PX$F04.A04RK$F04.A0CVG,Home-preparation aids,TRIFLE HOMEMADE WITH ARTIFICIAL CREAM
A02CD#F03.A06JA$F17.A07MY$F20.A07QR$F26.A07XEF28.A07GS$F28.A07KQ,Tusk,"Tusk,fillet,stir fried/pan fried with fat,deep frozen,without skin/peel/crust,intérieur cuit/à point (2),surface extérieure légèrement grillée (1),bought,frozen department (-18°C)"
A01ND#F03.A06HY$F06.A06XY$F08.A032J$F18.A07NN$F19.A07PF$F28.A07GLF28.A0BYP,"Jam, sweet cherry",SLADKO (JELLY-LIKE BUT WITH WHOLE PRESERVED FRUITS AND MORE SUGAR) OF CHERRIES
A01NA#F03.A06HY$F06.A06XY$F08.A032J$F18.A07NN$F19.A07PF$F28.A07GLF28.A0BYP,"Jam, apricots",SLADKO (JELLY-LIKE BUT WITH WHOLE PRESERVED FRUITS AND MORE SUGAR) OF APRICOTS
A029Y#F03.A06HY$F10.A166Y$F17.A07MX$F17.A07NA$F20.A07QE$F22.A07SSF28.A07GS,Salema,Salema
