ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
Live plant organism of the taxonomic group Zingiber officinale Roscoe. The group is relevant for the list of Botanicals. The plant is a member of the family Zingiberaceae. The plant is commonly known as Ginger. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Zingiber_officinale,A05VK#F02.A0EKE,Ginger (as plant),Zingiber officinale Roscoe,
"Live animal of the taxonomic genus Pylodictis spp., within the Family Ictaluridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Pylodictis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pylodictis",A0LDP#F02.A0EJV,Pylodictis (generic) (as animal),Pylodictis spp.,
Pheasants raised for meat production purposes. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Common_pheasant,A0CCJ#F01.A058G$F02.A0EJX$F29.A0C7G$F31.A0C8P,Pheasant fattening animal (as animal),,
Live plant organism of the taxonomic group Petunia violacea Lindl. The group is relevant for the list of Botanicals. The plant is a member of the family Solanaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Petunia_violacea,A15BX#F02.A0BA0,Petunia violacea Lindl. (as plant),Petunia violacea Lindl.,
"Live animal of the taxonomic genus Triglopsis spp., within the Family Cottidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Triglopsis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Triglopsis",A0XAG#F02.A0EJV,Triglopsis (generic) (as animal),Triglopsis spp.,
"Live animal of the taxonomic genus Odontocymbiola spp., within the Family Volutidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=382323£https://en.wikipedia.org/wiki/Odontocymbiola",A10ZD#F02.A0EJR,Odontocymbiola (generic) (as animal),Odontocymbiola spp.,
"Live animal of the taxonomic species Placamen tiara, within the Family Veneridae. The organisms are commonly known as Tiar venus or Vénus tiare. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=397171£https://en.wikipedia.org/wiki/Veneridae",A11ED#F02.A0EJR,Tiar venus (as animal),Placamen tiara,Vénus tiare
"Live animal of the taxonomic species Rhabdosargus holubi, within the Family Sparidae. The organisms are commonly known as Cape stumpnose. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Rhabdosargus-holubi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rhabdosargus holubi",A0QSZ#F02.A0EJV,Cape stumpnose (as animal),Rhabdosargus holubi,
"Live animal of the taxonomic species Pandalus tridens Rathbun, within the family Pandalidae. The organisms are commonly known as Yellowleg Pandalid. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=423633£https://en.wikipedia.org/wiki/Pandalus",A0AJP#F02.A0EJQ,Yellowleg Pandalid (as animal),Pandalus tridens Rathbun,
"Live animal of the taxonomic species Donax faba, within the Family Donacidae. The organisms are commonly known as Pacific bean donax or Flion radieux. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=216485£https://en.wikipedia.org/wiki/Donax_(bivalve)",A11KE#F02.A0EJR,Pacific bean donax (as animal),Donax faba,Flion radieux
"Live animal of the taxonomic species Katelysia hiantina, within the Family Veneridae. The organisms are commonly known as Hiant venus or Vénus sillonnée. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=492510£https://en.wikipedia.org/wiki/Veneridae",A11CT#F02.A0EJR,Hiant venus (as animal),Katelysia hiantina,Vénus sillonnée
"Live animal of the taxonomic species Pachymetopon grande, within the Family Sparidae. The organisms are commonly known as Bronze seabream. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Pachymetopon-grande.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pachymetopon grande",A0QTR#F02.A0EJV,Bronze seabream (as animal),Pachymetopon grande,
Embedding in a layer of chocolate,A07HP,Chocolate coating,,
"Live animals of the taxonomic genus Bombus, in the Apidae family. They are commonly referred to as Bumble bees. The part considered is by default the whole living organism. £https://en.wikipedia.org/wiki/bumblebee£https://www.google.it/search?tbm=isch&q=bumble+bee",A16TG#F02.A0EJP,Bumble bees (as animal),Bombus,
Live animal of the taxonomic family Diplomystidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/FamilySummary.php?family=Diplomystidae£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Diplomystidae,A0KXQ#F02.A0EJV,Diplomystidae (as animal),Diplomystidae,
"Live animal of the taxonomic species Milyeringa veritas, within the Family Eleotridae. The organisms are commonly known as Cave gudgeon. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Milyeringa-veritas.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Milyeringa veritas",A0T6P#F02.A0EJV,Cave gudgeon (as animal),Milyeringa veritas,
"Live animal of the taxonomic species Octopus vulgaris, within the Family Octopodidae. The organisms are commonly known as Common octopus or Pieuvre or Pulpo común or Octopus, Common. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Octopus vulgaris£https://en.wikipedia.org/wiki/Octopus_vulgaris",A056A#F02.A0EJR,Common octopus (as animal),Octopus vulgaris,"Pieuvre$Pulpo común$Octopus, Common"
"Live animal of the taxonomic species Scapharca globosa, within the Family Arcidae. The organisms are commonly known as Globose ark or Arche globuleuse. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=546018£https://en.wikipedia.org/wiki/Scapharca",A113H#F02.A0EJR,Globose ark (as animal),Scapharca globosa,Arche globuleuse
"Live animal of the taxonomic genus Sikukia spp., within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Sikukia£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sikukia",A0KNB#F02.A0EJV,Sikukia (generic) (as animal),Sikukia spp.,
"The group includes any type of sauces made with herbs, vegetables and oil, such as green sauce or salsa verde. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/List_of_sauces£https://www.google.co.uk/search?tbm=isch&q=sauces made with herbs vegetables and oil",A045E#F02.A0EPP$F33.A0C2G,"Herbs, vegetables and oil sauces",,Salsa verde$Green sauce
Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008),A0C5C,FA-01.7.5 Processed cheese,,
Live animal of the taxonomic order Acipenseriformes. The part considered is by default the whole living organism.£http://www.fishbase.org/summary/OrdersSummary.php?order=ACIPENSERIFORMES£http://www.marinespecies.org/aphia.php?p=taxlist&tName=ACIPENSERIFORMES,A0GMK#F02.A0EJV,Acipenseriformes (as animal),ACIPENSERIFORMES,
Composite food having pasteurised milk as ingredient,A07VX,Made from pasteurised milk,,
"Edible Roots/tubers from the plant classified under the species Colocasia esculenta var. antiquorum Schott, commonly known as Eddoe taros. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Eddoe£https://www.google.co.uk/search?tbm=isch&q=Eddoe taros",A0DPJ#F01.A05GL$F02.A0F5F$F27.A0DPJ$F33.A0C51,Eddoe taros,Colocasia esculenta var. antiquorum Schott,
Live animal of the taxonomic family Hemidonacidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hemidonacidae£https://en.wikipedia.org/wiki/Veneroida,A11ME#F02.A0EJR,Hemidonacidae (as animal),Hemidonacidae,
"Root and tuber vegetables from the plant classified under the species Daucus carota L. subsp. sativus, commonly known as Coloured carrots varieties. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Carrots£https://www.google.co.uk/search?tbm=isch&q=Coloured+carrots+varieties",A0DPA#F01.A05JG$F02.A0ERX$F27.A0DPA$F33.A0C51,Coloured carrots varieties,Daucus carota L. subsp. sativus,
"Live animal of the taxonomic species Crassostrea columbiensis, within the Family Ostreidae. The organisms are commonly known as Columbia black oyster or Huître creuse noire or Ostra negra. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Crassostrea columbiensis£https://en.wikipedia.org/wiki/Crassostrea",A117E#F02.A0EJR,Columbia black oyster (as animal),Crassostrea columbiensis,Huître creuse noire$Ostra negra
"Live animal of the taxonomic species Rhombosolea tapirina, within the Family Pleuronectidae. The organisms are commonly known as Greenback flounder. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Rhombosolea-tapirina.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rhombosolea tapirina",A0XRY#F02.A0EJV,Greenback flounder (as animal),Rhombosolea tapirina,
"Group/item (specifically used in the domain of biological monitoring). The group includes any type of ratites fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A04FD,Ratites fresh meat / fat tissue,,
"Live animal of the taxonomic species Tarletonbeania crenularis, within the Family Myctophidae. The organisms are commonly known as Blue lanternfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Tarletonbeania-crenularis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Tarletonbeania crenularis",A0J2G#F02.A0EJV,Blue lanternfish (as animal),Tarletonbeania crenularis,
"Live animal of the taxonomic genus Arcturides spp., within the family Arcturididae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Arcturides£https://en.wikipedia.org/wiki/Arcturidae",A0YVH#F02.A0EJQ,Arcturides (generic) (as animal),Arcturides spp.,
"Live animal of the taxonomic species Palliolum ringnesia W. H. Dall, within the Family Pectinidae. The organisms are commonly known as Ringnes Scallop. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138322£https://en.wikipedia.org/wiki/Palliolum",A0B1R#F02.A0EJR,Ringnes Scallop (as animal),Palliolum ringnesia W. H. Dall,
"Product of oil manufacture, obtained by pressing of germ of carob.",A0BG9#F02.A0F0Y$F23.A07TV$F27.A0BGA,"Carob germ, expeller (feed)",,
"Live animal of the taxonomic genus Sorubim spp., within the Family Pimelodidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Sorubim£http://www.marinespecies.org/aphia.php?p=taxdetails&id=270933",A0LNZ#F02.A0EJV,Sorubim (generic) (as animal),Sorubim spp.,
"Live animal of the taxonomic species Thunnus atlanticus, within the Family Scombridae. The organisms are commonly known as Blackfin tuna or Thon à nageoires noires or Atún aleta negra or Tuna, Blackfin. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Thunnus-atlanticus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Thunnus atlanticus",A052V#F02.A0EJV,Blackfin tuna (as animal),Thunnus atlanticus,"Thon à nageoires noires$Atún aleta negra$Tuna, Blackfin"
"Live animal of the taxonomic species Bathylaco nielseni, within the Family Alepocephalidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Bathylaco-nielseni.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Bathylaco nielseni",A0H7K#F02.A0EJV,Bathylaco nielseni (as animal),Bathylaco nielseni,
"The food item has an alcohol content which, when rounded with the standard rules of rounding, equals 3.4 % (volume/volume)",A079C,3.4 % alcohol v/v,,
"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Equus ferus caballus. The group includes any type of horse-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.",A04BB,Horse meat food,Equus ferus caballus$Equus caballus,
