ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
LIVE MOLLUSCS,Live molluscs,A0B0D#F02.A0EJR,Atlantic thorny oyster (as animal),Spondylus americanus,Atlantic thorny Oyster
live molluscs,Live molluscs,A0B31#F02.A0EJR,Blue-ringed Octopus (as animal),Hapalochlaena maculosa Hoyle$Hapalochlaena Robson spp.,
live plants,Live plants,A13ZS#F02.A0BA0,Careya arborea Roxb. (as plant),Careya arborea Roxb.,
"Feed-Related, Animal Feed, Sesame Seeds","Feed-related, Animal feed, Sesame seeds",A0BFF#F02.A0F0Y$F23.A07TV$F27.A0CZB,Sesame seed - expeller (feed),,
Live Fishes,Live fishes,A08Z2#F02.A0EJV,Marbled rockcod (as animal),Notothenia rossii,Bocasse marbrée$Trama jaspeada
LIVE MOLLUSCS,Live molluscs,A11HA#F02.A0EJR,Chinese trough shell (as animal),Mactra chinensis,
Fish and seafood based dishes,"Fish and seafood based dishes, Seafood and products thereof",A03XM#F02.A06GJ$F04.A0EZQ,Seafood-based meals,,
LIVE FISHES,Live fishes,A0SQN#F02.A0EJV,Chirolophis (generic) (as animal),Chirolophis spp.,
Live Molluscs,Live molluscs,A11FF#F02.A0EJR,Circentia (generic) (as animal),Circentia spp.,
LIVE FISHES,Live fishes,A0K6L#F02.A0EJV,Lavinia (generic) (as animal),Lavinia spp.,
Unleavened or flat bread Frying FA 07 1 Bread and rolls,"Unleavened or flat bread, Frying, FA-07.1 Bread and rolls",A16FX#F02.A06CP$F28.A07GR$F33.A0C3T,Fried bread dough,,Torta fritta
LIVE FISHES,Live fishes,A0NAS#F02.A0EJV,Mollison's pipefish (as animal),Mitotichthys mollisoni,
live fishes,Live fishes,A0830#F02.A0EJV,Belica (as animal),Leucaspius delineatus,Belica (freshwater)
live fungi,Live fungi,A16KZ#F02.A0EKB,Penicillium citrinum (as organism),Penicillium citrinum,
LIVE FISHES,Live fishes,A0HDZ#F02.A0EJV,Pacific hatchet fish (as animal),Argyropelecus affinis,
Live fishes,Live fishes,A0TLS#F02.A0EJV,Lesueurigobius (generic) (as animal),Lesueurigobius spp.,
Live Fishes,Live fishes,A09Y7#F02.A0EJV,Sillago (generic) (as animal),Sillago spp.,
Live Fishes,Live fishes,A0GYH#F02.A0EJV,Spicule anchovy (as animal),Anchoa spinifer,Anchois de fond$Anchoa de fondo
live fishes,Live fishes,A0G2C#F02.A0EJV,Zanobatus schoenleinii (as animal),Zanobatus schoenleinii,
LIVE FISHES,Live fishes,A0KTY#F02.A0EJV,Neohomaloptera johorensis (as animal),Neohomaloptera johorensis,
LIVE FISHES,Live fishes,A08L5#F02.A0EJV,Cape conger (as animal),Conger wilsoni Bloch & Schneider,
Meat based dishes Bovine fresh meat,"Meat based dishes, Bovine fresh meat",A03XC#F02.A06GH$F04.A01QV,Beef loaf,,
live molluscs,Live molluscs,A11DA#F02.A0EJR,Marcia (generic) (as animal),Marcia spp.,
LIVE FISHES,Live fishes,A0TCK#F02.A0EJV,Austrolethops (generic) (as animal),Austrolethops spp.,
Live Plants,Live plants,A15ET#F02.A0BA0,Polygala paniculata L. (as plant),Polygala paniculata L.,
Live Plants,Live plants,A17KN#F02.A0BA0,Verbascum nigrum L. (as plant),Verbascum nigrum L.,
Derivatives of coffee,"Derivatives of coffee, cocoa, tea and similar RPCs, Caffeine free, Coffee beans, green, Toasting / coffee roasting, Grinding / milling / crushing, Decaffeinating, FA-14.1.5.1 Coffee, coffee extracts",A03GP#F02.A0EYD$F10.A0CQH$F27.A03GK$F28.A07HC$F28.A07LA$F28.A07MN$F33.A0C1R,"Coffee ground, roasted and decaffeinated",,"Coffee ground, roasted and caffeine-free"
Live Fishes,Live fishes,A0MXA#F02.A0EJV,Enchelyopus (generic) (as animal),Enchelyopus spp.,
LIVE FISHES,Live fishes,A08DB#F02.A0EJV,Dentex (generic) (as animal),Dentex spp.,"Dentex nei$Dentés nca$Dentones, samas, etc. nep$Dentex species"
LIVE BIRDS,Live birds,A18NY#F02.A0EJX,Oxyura (as animal),,Oxyura
live molluscs,Live molluscs,A10TG#F02.A0EJR,Duplicate turret (as animal),Turritella duplicata,Turritelle anguleuse
LIVE FISHES,Live fishes,A0XSZ#F02.A0EJV,Buglossidium (generic) (as animal),Buglossidium spp.,
Live Fishes,Live fishes,A0VTK#F02.A0EJV,Bank rockfish (as animal),Sebastes rufus,Rocote rojo
Live fishes,Live fishes,A09NT#F02.A0EJV,Parona leatherjacket (as animal),Parona signata,Parona$Sauteur parone
LIVE BIRDS,Live birds,A17TH#F02.A0EJX,Milvus (as animal),Milvus sp.,Kites
LIVE FISHES,Live fishes,A0XMH#F02.A0EJV,Drab flounder (as animal),Arnoglossus tapeinosoma,
live molluscs,Live molluscs,A114N#F02.A0EJR,Ohio pigtoe (as animal),Pleurobema cordatum,
live fishes,Live fishes,A0GKD#F02.A0EJV,Silver chimaera (as animal),Chimaera phantasma,
Live fishes,Live fishes,A0N5Q#F02.A0EJV,Aeoliscus (generic) (as animal),Aeoliscus spp.,
LIVE FISHES,Live fishes,A0HCY#F02.A0EJV,Diplophos (generic) (as animal),Diplophos spp.,
Live fishes,Live fishes,A0RZM#F02.A0EJV,Threeline damsel (as animal),Pomacentrus trilineatus,
live fishes,Live fishes,A0VJH#F02.A0EJV,Cheekspot blenny (as animal),Parablennius opercularis,
LIVE BIRDS,Live birds,A18VD#F02.A0EJX,Wattled Jacana (as animal),Jacana jacana,
LIVE CRUSTACEANS,Live crustaceans,A0YVC#F02.A0EJQ,Serolis gracilis (as animal),Serolis gracilis,
Pulasan,"Pulasan, Fruits used as fruit, Pulasans, FA-04.1 Unprocessed fruit and vegetables",A01JY#F01.A063Y$F02.A0ELC$F27.A01JY$F33.A0C51,Pulasans,Nephelium mutabile Blume,Kapulasan$Ngoh-khonsan$Bulalas
Live fishes,Live fishes,A0G2K#F02.A0EJV,Trygonorrhina guaneria (as animal),Trygonorrhina guaneria,
Live Molluscs,Live molluscs,A0ATB#F02.A0EJR,Rayed trough shell (as animal),Mactra corallina,Mactre coralline$Pechina lisa$Rayed trough-shell
Live fishes,Live fishes,A0S4F#F02.A0EJV,Queen coris (as animal),Coris formosa,Girelle reine$Doncella reina
Live Fruit Plants,Live fruit plants,A1AAD#F02.A0EKF,Curuba (as plant),Passiflora tripartita$Tacsonia tripartita  ,
Live crustaceans,Live crustaceans,A09ZD#F02.A0EJQ,Brackish water Crab (as animal),Metasesarma H. Milne Edwards spp.,
LIVE FISHES,Live fishes,A0R5M#F02.A0EJV,Spotted knifejaw (as animal),Oplegnathus punctatus,
live fishes,Live fishes,A08PZ#F02.A0EJV,Speckled flounder (as animal),Paralichthys woolmani,
Live fishes,Live fishes,A0Q7M#F02.A0EJV,Yellow jack (as animal),Caranx bartholomaei,Carangue grasse$Cojinua amarilla
LIVE FISHES,Live fishes,A07YB#F02.A0EJV,Mediterranean barbel (as animal),Barbus meridionalis,Mediterranean Barbel
Live Plants,Live plants,A13HP#F02.A0BA0,Agathosma crenulata (L.) Pillians (as plant),Agathosma crenulata (L.) Pillans$Barosma crenulata (L.) Hook.,
Live crustaceans,Live crustaceans,A0CKJ#F02.A0EJQ,Gammaridae (as animal),Gammaridae,
LIVE FISHES,Live fishes,A0G1Y#F02.A0EJV,Brazilian guitarfish (as animal),Rhinobatos horkelii,
LIVE BIRDS,Live birds,A17ZZ#F02.A0EJX,Grey-headed Woodpecker (as animal),Picus canus,Grey-faced Woodpecker
LIVE FISHES,Live fishes,A0TGY#F02.A0EJV,Cryptocentroides (generic) (as animal),Cryptocentroides spp.,
live fishes,Live fishes,A0L4K#F02.A0EJV,Gelanoglanis stroudi (as animal),Gelanoglanis stroudi,
LIVE MOLLUSCS,Live molluscs,A10JJ#F02.A0EJR,Morocco moon snail (as animal),Natica marochiensis,Natice du Maroc$Nática marroquí
Live Fishes,Live fishes,A0PFR#F02.A0EJV,Lunar fusilier (as animal),Caesio lunaris,Caesio à croissant$Fusilero luna
LIVE MOLLUSCS,Live molluscs,A0B0F#F02.A0EJR,Alaska glass-scallop (as animal),Parvamussium alaskense Dall,
Live fishes,Live fishes,A0NDT#F02.A0EJV,Eutaeniophorus (generic) (as animal),Eutaeniophorus spp.,
Microorganisms,"Microorganisms, live",A16JF#F02.A06CK,Streptomyces aureofaciens (as organism),Streptomyces aureofaciens,
live birds,Live birds,A17ZX#F02.A0EJX,Eurasian Hoopoe (as animal),Upupa epops,Common Hoopoe
live birds,Live birds,A1ACS#F02.A0EJX,Long-tailed Shrike (as animal),Lanius schach,
LIVE MAMMALS,Live mammals,A0F2B#F02.A0EJN,Marsupials (as animal),Marsupialia,
Live fishes,Live fishes,A0VHB#F02.A0EJV,Lupinoblennius (generic) (as animal),Lupinoblennius spp.,
Live fishes,Live fishes,A09KZ#F02.A0EJV,Yellowtail amberjack (as animal),Seriola lalandi,Sériole chicard$Medregal rabo amarillo
LIVE PLANTS,Live plants,A13DR#F02.A0BA0,Styracaceae - family (as plant),Styracaceae (family),
Live vegetable for infusions,Live vegetables for infusions,A0E2T#F02.A0EKC,Rock rose (as plant),Cistus incanus Sibth. & Sm.$Cistus creticus L.$Cistus villosus L.,
LIVE FISHES,Live fishes,A0VSA#F02.A0EJV,Elassoma (generic) (as animal),Elassoma spp.,
LIVE FISHES,Live fishes,A0V8R#F02.A0EJV,Sphyraena japonica (as animal),Sphyraena japonica,
Live plants,Live plants,A13VJ#F02.A0BA0,Bontia daphnoides L. (as plant),Bontia daphnoides L.,
Live fishes,Live fishes,A0X1G#F02.A0EJV,Karumba (generic) (as animal),Karumba spp.,
Live Birds,Live birds,A19VB#F02.A0EJX,Philby's Partridge (as animal),Alectoris philbyi,Philby's Rock Partridge
Orangefin labeo,"Orangefin labeo, Fish meat, Labeo calbasu, FA-09.1.1 Unprocessed fish",A0F8E#F01.A07YT$F02.A0EMD$F27.A0F8E$F33.A0C39,Labeo calbasu,Labeo calbasu,Orangefin labeo
"Insects / arachnids meat with Insects, Insects, Insect pupae/nymphs","Insects, Insects / arachnids meat, Insects, Insect pupae/nymphs",A16XD#F01.A04TF$F02.A0EMG$F27.A02LQ$F31.A16RL,Edible insect pupae/nymphs,,
live fishes,Live fishes,A0MYE#F02.A0EJV,Trident grenadier (as animal),Coryphaenoides delsolari,
LIVE FISHES,Live fishes,A0R1G#F02.A0EJV,Sectator (generic) (as animal),Sectator spp.,
Rice that is Grains and Rice grain and brown and FA-06.1 Whole and broken and or flaked grain,"Rice, Grains, Rice grain, brown, FA-06.1 Whole, broken, or flaked grain",A001E#F01.A059Y$F02.A066Q$F27.A001E$F33.A0C4A,"Rice grain, brown",particular cultivar of Oryza sativa L.,
Live fishes,Live fishes,A0XVD#F02.A0EJV,Soleichthys (generic) (as animal),Soleichthys spp.,
live crustaceans,Live crustaceans,A0ZNN#F02.A0EJQ,Neolithodes (generic) (as animal),Neolithodes spp.,
Live Fishes,Live fishes,A0PQQ#F02.A0EJV,Gracila (generic) (as animal),Gracila spp.,
LIVE MOLLUSCS,Live molluscs,A10HA#F02.A0EJR,Fissurelidae (as animal),Fissurelidae,
Live Birds,Live birds,A1ABA#F02.A0EJX,Ashy-throated Parrotbill (as animal),Suthora alphonsiana$Paradoxornis alphonsianus$Sinosuthora alphonsiana,
live molluscs,Live molluscs,A10LC#F02.A0EJR,Limpets (generic) (as animal),Patella spp.,Limpets nei$Patelles nca$Lapas nep
LIVE FISHES,Live fishes,A0GEQ#F02.A0EJV,Trygonoptera (generic) (as animal),Trygonoptera spp.,
Live fishes,Live fishes,A0Q4T#F02.A0EJV,Pseudochromidae (as animal),Pseudochromidae,
Live fishes,Live fishes,A0M9F#F02.A0EJV,Pythonichthys sanguineus (as animal),Pythonichthys sanguineus,
Live Root Or Tuber Vegetables,Live root or tuber vegetables,A0BXQ#F02.A0EKM,Roots and tuber vegetables (as plant),,
Live plants,Live plants,A15HL#F02.A0BA0,Raphanus raphanistrum L. (as plant),Raphanus raphanistrum L.,
live birds,Live birds,A1A3A#F02.A0EJX,Rufous-breasted Accentor (as animal),Prunella strophiata,
live plants,Live plants,A13TP#F02.A0BA0,Bauhinia variegata L. (as plant),Bauhinia variegata L.,Mountain ebony$Orchid tree
Live molluscs,Live molluscs,A11RQ#F02.A0EJR,Common file shell (as animal),Lima vulgaris,Lime commune
live crustaceans,Live crustaceans,A0ZHB#F02.A0EJQ,Aesop slipper lobster (as animal),Scyllarides haanii,
live fishes,Live fishes,A0Q7H#F02.A0EJV,"Jacks, crevalles (generic) (as animal)",Caranx spp.,"Jacks, crevalles nei$Chinchards, carangues nca$Jureles, pámpanos nep"
Fruit plants and Fruits used as fruit and Mangoes and similar- and FA-04.1 Unprocessed fruit and vegetables,"Fruit plants, Fruits used as fruit, Mangoes and similar-, FA-04.1 Unprocessed fruit and vegetables",A0DQF#F01.A0ERN$F02.A0ELC$F27.A0DQF$F33.A0C51,Mangoes and similar-,,
live crustaceans,Live crustaceans,A0ZEH#F02.A0EJQ,Japanese spear lobster (as animal),Linuparus trigonus,
LIVE MOLLUSCS,Live molluscs,A114S#F02.A0EJR,Western pearlshell (as animal),Margaritifera falcata,
LIVE FISHES,Live fishes,A0L7E#F02.A0EJV,Merauke tandan (as animal),Porochilus meraukensis,
Live leafy vegetables,Live leafy vegetables,A05FP#F02.A0EKL,Purslane (as plant),Portulaca oleracea L.,
"Groats, Fragments / granules / splinters, Wheat and similar-, Grinding / milling / crushing, FA-06.1 Whole, broken, or flaked grain","Groats, Fragments / granules / splinters, Wheat and similar-, Grinding / milling / crushing, FA-06.1 Whole, broken, or flaked grain",A004E#F02.A068B$F03.A06JC$F27.A001M$F28.A07LA$F33.A0C4A,Wheat groats,,
live birds,Live birds,A17NR#F02.A0EJX,Eurasian Treecreeper (as animal),Certhia familiaris,Treecreeper
LIVE MOLLUSCS,Live molluscs,A0B16#F02.A0EJR,Flexopecten (generic) (as animal),Flexopecten spp.,Flexopecten spp. Sacco
live birds,Live birds,A1ABQ#F02.A0EJX,Rufous-naped Tit (as animal),Periparus rufonuchalis$Parus rufonuchalis,Dark-grey Tit
LIVE FISHES,Live fishes,A08F3#F02.A0EJV,Shovelnose sea catfish (as animal),Arius subrostratus Valenciennes,
Live fishes,Live fishes,A0SQT#F02.A0EJV,Ernogrammus hexagrammus (as animal),Ernogrammus hexagrammus,
Chips/crisps,"Chips/crisps, Dried potato products, Deep frying, FA-15.1 Potato-, cereal-, flour- or starch-based snacks",A0BYT#F02.A0EPT$F04.A011C$F28.A07GV$F33.A0C1A,Potato crisps from dough,,
Mammals Mammals and birds meat Bovine sweet meat Pig fresh meat FA 08 1 Fresh meat excluding meat preparations as defined by Regulation N0 853 2004,"Mammals, Mammals and birds meat, Bovine fresh meat, Pig fresh meat, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004",A01TN#F01.A056H$F02.A0BYZ$F27.A01QV$F27.A01RG$F33.A0C3M,Bovine and pig fresh meat,,
food flavours,Food flavours,A06PN#F02.A06CD,Herbs flavour,,
"Feed-related, animal feed, chicory roots","Feed-related, Animal feed, Chicory roots",A0BHZ#F02.A0F0Y$F23.A07TV$F27.A05GR,Chicory vinasses (feed),,
live birds,Live birds,A19YM#F02.A0EJX,White-tailed Laurel-pigeon (as animal),Columba junoniae,Laurel Pigeon
LIVE PLANTS,Live plants,A14NK#F02.A0BA0,Geranium pratense L. (as plant),Geranium pratense L.,
Lavender  Flowers used for infusions or hot drinks  Lavender infusion flowers  FA 14 1 5 2 Other,"Lavender, Flowers used for infusions or hot drinks, Lavender infusion flowers, FA-14.1.5.2 Other",A00XP#F01.A05NV$F02.A0EKZ$F27.A00XP$F33.A0C1Q,Lavender infusion flowers,Lavandula angustifolia$Lavandula officinalis,
LIVE FISHES,Live fishes,A0SQP#F02.A0EJV,Mosshead warbonnet (as animal),Chirolophis nugator,
Live fruit plants,Live fruit plants,A065E#F02.A0EKF,Feijoa (as plant),Acca sellowiana (O.Berg) Burret$Feijoa sellowiana (O.Berg) O.Berg,
Live Molluscs,Live molluscs,A12NQ#F02.A0EJR,Benthopectinidae (as animal),Benthopectinidae,
Pasta-based dishes,"Pasta-based dishes, Filled pastas, Cooking and similar thermal preparation processes",A0CDP#F02.A06GT$F04.A0ERE$F28.A0BA1,"Pasta, filled, cooked",,
LIVE BIRDS,Live birds,A17VE#F02.A0EJX,Lesser Kestrel (as animal),Falco naumanni,
Live fishes,Live fishes,A0MTS#F02.A0EJV,Gadidae (as animal),Gadidae,
LIVE MOLLUSCS,Live molluscs,A12RJ#F02.A0EJR,Waite’s snake-star (as animal),Astrothorax waitei,
Live Fishes,Live fishes,A0Y6B#F02.A0EJV,Colomesus (generic) (as animal),Colomesus spp.,
live crustaceans,Live crustaceans,A0YSD#F02.A0EJQ,Daphnia cristata (as animal),Daphnia cristata,
LIVE FISHES,Live fishes,A0THS#F02.A0EJV,Elacatinus (generic) (as animal),Elacatinus spp.,
Live fishes,Live fishes,A0PYL#F02.A0EJV,Cookeolus (generic) (as animal),Cookeolus spp.,
LIVE FISHES,Live fishes,A0QDA#F02.A0EJV,Etelis (generic) (as animal),Etelis spp.,
Live fishes,Live fishes,A0K8F#F02.A0EJV,Barboides (generic) (as animal),Barboides spp.,
Live Fishes,Live fishes,A0FKX#F02.A0EJV,Galeus longirostris (as animal),Galeus longirostris,
LIVE MOLLUSCS,Live molluscs,A11BR#F02.A0EJR,Callista (generic) (as animal),Callista spp.,
LIVE FISHES,Live fishes,A09L3#F02.A0EJV,Whitemouth jack (as animal),Uraspis uraspis,Carangue paia$Jurel paia
live molluscs,Live molluscs,A121L#F02.A0EJR,False angel wing (as animal),Petricola pholadiformis,Petricole fausse pholade$Falso ala de ángel
live fungi,Live fungi,A16LY#F02.A0EKB,Trametes versicolor (as organism),Trametes versicolor,
"Limequat, Fruits Used As Fruit, Limequats, Fa-04.1 Unprocessed Fruit And Vegetables","Limequat, Fruits used as fruit, Limequats, FA-04.1 Unprocessed fruit and vegetables",A0DRS#F01.A0E2V$F02.A0ELC$F27.A0DRS$F33.A0C51,Limequats,Citrus aurantiifolia x Fortunella spp.,
Silver perch,"Silver perch, Fish meat, Silver perch, FA-09.1.1 Unprocessed fish",A0F9Q#F01.A081V$F02.A0EMD$F27.A0F9Q$F33.A0C39,Silver perch,Bidyanus bidyanus,Bidyan Perch
LIVE FISHES,Live fishes,A0HTM#F02.A0EJV,Spiderfish (as animal),Bathypterois dubius,
Live fishes,Live fishes,A0P6C#F02.A0EJV,Neocyttus helgae (as animal),Neocyttus helgae,
Live molluscs,Live molluscs,A12AD#F02.A0EJR,Octopus neglectus (as animal),Octopus neglectus,
live plants,Live plants,A14FA#F02.A0BA0,Duranta erecta L. (as plant),Duranta erecta L.,
Live plants for extract,"Live plants for infusion, Seeds used for infusions or hot drinks, Seeds used for infusions or hot drinks",A04JB#F01.A065G$F02.A0ELB$F27.A04JB,"Seeds (coffee, cocoa and similar) used for infusions or hot drinks",,
live plants,Live plants,A14FR#F02.A0BA0,Elytrigia repens Desv. (as plant),Elytrigia repens Desv.,
live birds,Live birds,A189B#F02.A0EJX,Phalacrocorax (as animal),Phalacrocorax sp.,
Live Birds,Live birds,A17LX#F02.A0EJX,Barbary dove (as animal),Streptopelia roseogrisea$Streptopelia risoria,Ringed turtle dove
"PISTACHIO, FEED-RELATED, ANIMAL FEED, PISTACHIO NUT","Pistachio, Feed-related, Animal feed, Pistachio nut",A0DNL#F01.A05RN$F02.A0F0Y$F23.A07TV$F27.A0DNL,Pistachio nut (feed),Pistacia vera L.,
Live Fishes,Live fishes,A0FJB#F02.A0EJV,Spotted wobbegong (as animal),Orectolobus maculatus,Requin-tapis tacheté$Tapicero manchado$-
Live fishes,Live fishes,A0VBE#F02.A0EJV,Lepidoblennius (generic) (as animal),Lepidoblennius spp.,
LIVE MOLLUSCS,Live molluscs,A105M#F02.A0EJR,Callao rock shell (as animal),Thais calloensis,Pourpre de Callao$Púrpura de Callao
Live plants,Live plants,A14LA#F02.A0BA0,Fallopia japonica (Houtt.) Ronse Decr. (as plant),Fallopia japonica (Houtt.) Ronse Decr.$Polygonum cuspidatum Siebold & Zucc.$Reynoutria japonica Houtt.,
Live fishes,Live fishes,A0Y2J#F02.A0EJV,Trinectes (generic) (as animal),Trinectes spp.,
Leavened bread,"Leavened bread, Wheat and similar-, Rye grain, FA-07.1 Bread and rolls",A005M#F02.A06CN$F04.A001M$F04.A001K$F33.A0C3T,Mixed wheat and rye bread and rolls,,
LIVE CRUSTACEANS,Live crustaceans,A0ZMQ#F02.A0EJQ,Coldwater mole crab (as animal),Emerita analoga,Mui-mui limanche$Muy-muy limanche
"Molluscs meat with Japanese flying squid, Squid, japanese flying, FA-09.1.2 Unprocessed molluscs and crustaceans","Japanese flying squid, Molluscs meat, Squid, japanese flying, FA-09.1.2 Unprocessed molluscs and crustaceans",A02JL#F01.A056F$F02.A0EME$F27.A02JL$F33.A0C38,"Squid, japanese flying",Todarodes pacificus,Japanese flying squid
live molluscs,Live molluscs,A11MP#F02.A0EJR,Violet batissa (as animal),Batissa violacea,Cyrène violette
Live birds,Live birds,A17PM#F02.A0EJX,Northern Shoveler (as animal),Spatula clypeata$Anas clypeata,Shoveler
FOOD FLAVOURS,Food flavours,A06PV#F02.A06CD,Hot & spicy flavour,,
Live plants,Live plants,A13YJ#F02.A0BA0,Caesalpinia pulcherrima (L.) Sw. (as plant),Caesalpinia pulcherrima (L.) Sw.,
"food supplements and similar preparations, enzymes for fortification","Food supplements and similar preparations, Enzymes for fortification",A03SZ#F02.A06FT$F04.A0EVJ,Coenzyme q10 formulations,,
Live fishes,Live fishes,A0QPJ#F02.A0EJV,Black croaker (as animal),Cheilotrema saturnum,
live fishes,Live fishes,A0LFY#F02.A0EJV,Bagarius yarrelli (as animal),Bagarius yarrelli,
LIVE MOLLUSCS,Live molluscs,A127T#F02.A0EJR,Northern shortfin squid (as animal),Illex illecebrosus,Encornet rouge nordique$Pota norteña
Live fishes,Live fishes,A0GDD#F02.A0EJV,Australian cownose ray (as animal),Rhinoptera neglecta,
Live Birds,Live birds,A1ASJ#F02.A0EJX,Elegant Tern (as animal),Thalasseus elegans$Sterna elegans,
Live Fishes,Live fishes,A0LKJ#F02.A0EJV,Platyallabes tihoni (as animal),Platyallabes tihoni,
Rutabaga greens,"Rutabaga greens, Compact leaves used as leafy vegetables, Rutabaga greens, FA-04.1 Unprocessed fruit and vegetables",A00LX#F01.A05FB$F02.A067K$F27.A00LX$F33.A0C51,Rutabaga greens,Brassica napus L. var. napobrassica (L.) Rchb.,
live fishes,Live fishes,A0FHK#F02.A0EJV,Megachasma (generic) (as animal),Megachasma spp.,
LIVE FISHES,Live fishes,A0YCJ#F02.A0EJV,Rough leatherjackets (as animal),Scobinichthys granulatus,
Live crustaceans,Live crustaceans,A0ZFA#F02.A0EJQ,Orconectes (generic) (as animal),Orconectes spp.,
Live fishes,Live fishes,A0KBL#F02.A0EJV,Danionella (generic) (as animal),Danionella spp.,
"SPINACH, FEED-RELATED, ANIMAL FEED, SPINACH SEED","Spinach, Feed-related, Animal feed, Spinach seed",A0BKP#F01.A05FK$F02.A0F0Y$F23.A07TV$F27.A0BKP,Spinach seed (feed),,
live molluscs,Live molluscs,A0B30#F02.A0EJR,Tremoctopus (generic) (as animal),Tremoctopus spp.,Blanket Octopus
Live fishes,Live fishes,A09Z7#F02.A0EJV,Thamnaconus septentrionalis (as animal),Thamnaconus septentrionalis,Thamnaconus septentrionalis Günther
LIVE FISHES,Live fishes,A0RXL#F02.A0EJV,Pomachromis (generic) (as animal),Pomachromis spp.,
LIVE FISHES,Live fishes,A0P0Z#F02.A0EJV,Spinyfins (generic) (as animal),Diretmidae,Spinyfins nei$Malcarados nep
live molluscs,Live molluscs,A134F#F02.A0EJR,Red oyas (as animal),Halocynthia roretzi,
LIVE FISHES,Live fishes,A0G3X#F02.A0EJV,Broad skate (as animal),Raja badia,
Live fishes,Live fishes,A0QXK#F02.A0EJV,Sulphur goatfish (as animal),Upeneus sulphureus,
live fishes,Live fishes,A0P9Z#F02.A0EJV,Cairnsichthys (generic) (as animal),Cairnsichthys spp.,
Vinegar and Bacteria fermentation and FA-12.3 Vinegars and diluted acetic acid,"Vinegar, Bacteria fermentation, FA-12.3 Vinegars and diluted acetic acid",A044L#F02.A0EPB$F28.A07JZ$F33.A0C2K,Vinegar,,
LIVE PLANTS FOR HERBS OR FLOWERS,Live plants for herbs or flowers,A0EBQ#F02.A0EKD,Jamé's sage (as plant),Salvia leucantha Cav.,
"Food additives other than flavours, colours and artificial sweeteners","Food additives other than flavours, colours and artificial sweeteners",A048N#F02.A06CF,Propellent gas,,
Live fishes,Live fishes,A0SGR#F02.A0EJV,Callanthiidae (as animal),Callanthiidae,
"dill, seed spices, dill seed, fa-12.2.1 herbs and spices","Dill, Seed spices, Dill seed, FA-12.2.1 Herbs and spices",A018F#F01.A05NN$F02.A0F0E$F27.A018F$F33.A0C2M,Dill seed,Anethum graveolens L.$Peucedanum graveolens (L.) Benth & Hook f.,
live plants,Live plants,A15TP#F02.A0BA0,Streblus asper Lour. (as plant),Streblus asper Lour.,
Sassafras and Aromatic herbs and Sassafras leaves and FA-04.1 Unprocessed fruit and vegetables,"Sassafras, Aromatic herbs, Sassafras leaves, FA-04.1 Unprocessed fruit and vegetables",A00YJ#F01.A05PM$F02.A0F0C$F27.A00YJ$F33.A0C51,Sassafras leaves,Sassafras albidum (Nutt.) Nees,White Sassafras$Red Sassafras$Silky Sassafras
Rice that is Grains and Rice grain and FA-06.1 Whole and broken and or flaked grain,"Rice, Grains, Rice grain, FA-06.1 Whole, broken, or flaked grain",A001D#F01.A059Y$F02.A066Q$F27.A001D$F33.A0C4A,Rice grain,Oryza sativa L.,
Live fishes,Live fishes,A0KDR#F02.A0EJV,Iberocypris palaciosi (as animal),Iberocypris palaciosi,
Feed-related,"Feed-related, Animal feed",A0EHF#F02.A0F0Y$F23.A07TV,Evening primrose expeller (feed),,
LIVE PLANTS,Live plants,A158Z#F02.A0BA0,Orchis mascula (L.) L. (as plant),Orchis mascula (L.) L.,
Live fishes,Live fishes,A0R0A#F02.A0EJV,Grey knifefish (as animal),Bathystethus cultratus,
Live fishes,Live fishes,A0RYS#F02.A0EJV,Blackspot sergeant (as animal),Abudefduf sordidus,
Live Fishes,Live fishes,A0QDV#F02.A0EJV,Chinamanfish (as animal),Symphorus nematophorus,Vivaneau diable$Pargo diablo
live fishes,Live fishes,A0S9Q#F02.A0EJV,Pygoplites (generic) (as animal),Pygoplites spp.,
LIVE CRUSTACEANS,Live crustaceans,A0A9M#F02.A0EJQ,Arafura shrimp (as animal),Parapenaeopsis arafurica,Crevette arafura$Camarón arafura$Arafura Shrimp
Cereals and similar,"Cereals and similar, Grains, Other cereals, FA-06.1 Whole, broken, or flaked grain",A001Y#F01.A058Z$F02.A066Q$F27.A001Y$F33.A0C4A,Other cereals,,
Sandwich and sandwich-like dishes,"Sandwich and sandwich-like dishes, Bread and similar products",A03YZ#F02.A06GP$F04.A004V,Sandwich and sandwich-like dishes,,
live birds,Live birds,A171Z#F02.A0EJX,Cape Petrel (as animal),Daption capense,Cape Pigeon$Pintado Petrel
LIVE FISHES,Live fishes,A0KNZ#F02.A0EJV,Systomus partipentazona (as animal),Systomus partipentazona,
Live Cereal Plants,Live cereal plants,A059R#F02.A0EJM,"Millet, foxtail (as plant)",Setaria italica (L.) P.Beauv.,
LIVE FISHES,Live fishes,A08N2#F02.A0EJV,Slender rockfish (as animal),Scorpaena elongata,Rascasse rose$Gallineta rosada
